win,lose,probability
Cleveland Cavaliers,New York Knicks,0.9035197924214853
Golden State Warriors,San Antonio Spurs,0.626790442216175
Portland Trail Blazers,Utah Jazz,0.7156769774805519
Boston Celtics,Brooklyn Nets,0.9086948995370068
Indiana Pacers,Dallas Mavericks,0.6342654144229686
Houston Rockets,Los Angeles Lakers,0.8046650175979252
Memphis Grizzlies,Minnesota Timberwolves,0.669308399275424
Charlotte Hornets,Milwaukee Bucks,0.6931648046364598
New Orleans Pelicans,Denver Nuggets,0.5619401277771559
Miami Heat,Orlando Magic,0.6427098786088399
Oklahoma City Thunder,Philadelphia 76ers,0.9473917293231378
Sacramento Kings,Phoenix Suns,0.5849686038012759
Toronto Raptors,Detroit Pistons,0.7506685501921527
Atlanta Hawks,Washington Wizards,0.6913224285272671
Boston Celtics,Chicago Bulls,0.5958699605648738
Portland Trail Blazers,Los Angeles Clippers,0.5642067828144061
San Antonio Spurs,Sacramento Kings,0.8635631580464225
Indiana Pacers,Brooklyn Nets,0.7873433162464432
Dallas Mavericks,Houston Rockets,0.5296491205916788
Detroit Pistons,Orlando Magic,0.7089400166909606
Miami Heat,Charlotte Hornets,0.5655087116850405
Golden State Warriors,New Orleans Pelicans,0.9175281047314201
Oklahoma City Thunder,Phoenix Suns,0.9400898356017175
Cleveland Cavaliers,Toronto Raptors,0.5628333223623575
Utah Jazz,Los Angeles Lakers,0.8677947112703229
Indiana Pacers,Chicago Bulls,0.5365544012355947
Charlotte Hornets,Boston Celtics,0.5685974015417646
Cleveland Cavaliers,Orlando Magic,0.8804549163768715
Portland Trail Blazers,Denver Nuggets,0.6317760900272074
Milwaukee Bucks,Brooklyn Nets,0.7671623902364922
Memphis Grizzlies,New York Knicks,0.517999897560336
Atlanta Hawks,Philadelphia 76ers,0.8993249649307073
Sacramento Kings,Minnesota Timberwolves,0.633110059569786
San Antonio Spurs,New Orleans Pelicans,0.9398843541628311
Detroit Pistons,Milwaukee Bucks,0.7791403328202214
Houston Rockets,Dallas Mavericks,0.5649265434489572
Los Angeles Clippers,Utah Jazz,0.6984976332649271
Washington Wizards,Memphis Grizzlies,0.5140714225313224
San Antonio Spurs,Miami Heat,0.7082616347237785
Oklahoma City Thunder,Los Angeles Lakers,0.9571758783366809
Golden State Warriors,Phoenix Suns,0.9449608990197783
Atlanta Hawks,Sacramento Kings,0.793903875980035
Chicago Bulls,Brooklyn Nets,0.7357066751611672
Los Angeles Clippers,Phoenix Suns,0.8955288863098099
Toronto Raptors,Denver Nuggets,0.8639350205157965
Cleveland Cavaliers,Houston Rockets,0.813257895325757
Detroit Pistons,New York Knicks,0.7559231388673787
Indiana Pacers,Los Angeles Lakers,0.8986648159737043
Miami Heat,Sacramento Kings,0.7832628143146038
Minnesota Timberwolves,Memphis Grizzlies,0.5358275193602956
New Orleans Pelicans,Milwaukee Bucks,0.5847616874843417
Orlando Magic,Philadelphia 76ers,0.7810120393859928
Golden State Warriors,Portland Trail Blazers,0.7169738128473371
San Antonio Spurs,Utah Jazz,0.8631980432783899
Atlanta Hawks,Los Angeles Lakers,0.913997238319992
Boston Celtics,Chicago Bulls,0.6872780322782311
Detroit Pistons,Brooklyn Nets,0.7478708982421824
Charlotte Hornets,Philadelphia 76ers,0.9467282411738601
Oklahoma City Thunder,Los Angeles Clippers,0.5623177965761225
Memphis Grizzlies,New Orleans Pelicans,0.6783302990885101
Houston Rockets,New York Knicks,0.6322097427394388
Portland Trail Blazers,Phoenix Suns,0.7765272488593578
Utah Jazz,Dallas Mavericks,0.5620983286489314
Toronto Raptors,Washington Wizards,0.6574366435627679
Cleveland Cavaliers,Boston Celtics,0.7434862958049656
Golden State Warriors,Oklahoma City Thunder,0.7215584604523079
Indiana Pacers,Milwaukee Bucks,0.6463959593841954
Minnesota Timberwolves,Denver Nuggets,0.6169007147189797
Orlando Magic,Sacramento Kings,0.6077199630275758
Charlotte Hornets,Brooklyn Nets,0.8206426900838962
Chicago Bulls,New York Knicks,0.6866504764043978
Portland Trail Blazers,Dallas Mavericks,0.5348027944091434
Golden State Warriors,Los Angeles Lakers,0.9634359328060133
Los Angeles Clippers,Memphis Grizzlies,0.695536596070254
New Orleans Pelicans,Phoenix Suns,0.6795581789293201
Toronto Raptors,Miami Heat,0.6604077460840887
San Antonio Spurs,Utah Jazz,0.7866699282469831
Atlanta Hawks,Washington Wizards,0.5509459785462361
Atlanta Hawks,Houston Rockets,0.6691745202999626
Detroit Pistons,Denver Nuggets,0.7626659694537515
Indiana Pacers,Chicago Bulls,0.6555105499176954
Milwaukee Bucks,Sacramento Kings,0.5513869172311442
Oklahoma City Thunder,Minnesota Timberwolves,0.9097926500141971
Washington Wizards,Orlando Magic,0.5261193105667159
Cleveland Cavaliers,Philadelphia 76ers,0.9567066495917738
San Antonio Spurs,Los Angeles Clippers,0.7644520641767607
Boston Celtics,Denver Nuggets,0.8130712408501196
Dallas Mavericks,Milwaukee Bucks,0.7339161554894218
Phoenix Suns,Los Angeles Lakers,0.5275900085747088
Portland Trail Blazers,Memphis Grizzlies,0.6026042729312703
Utah Jazz,New York Knicks,0.6329330655612794
Toronto Raptors,Sacramento Kings,0.8442235452796084
Chicago Bulls,Orlando Magic,0.6328100855627611
Charlotte Hornets,Indiana Pacers,0.6266653989168833
Golden State Warriors,New Orleans Pelicans,0.9502781446848921
Los Angeles Clippers,Detroit Pistons,0.7108709018781226
Oklahoma City Thunder,Miami Heat,0.744059052499596
Utah Jazz,Philadelphia 76ers,0.8581624844082946
Washington Wizards,Houston Rockets,0.5469249446070027
Minnesota Timberwolves,Brooklyn Nets,0.5696507173843797
Cleveland Cavaliers,Atlanta Hawks,0.7462237241755373
Dallas Mavericks,Los Angeles Lakers,0.8003738763121759
Memphis Grizzlies,Denver Nuggets,0.6557428414047213
Portland Trail Blazers,Phoenix Suns,0.903039959640439
Sacramento Kings,New Orleans Pelicans,0.6425921665464144
Atlanta Hawks,Chicago Bulls,0.695153142238706
Charlotte Hornets,Utah Jazz,0.663776702032996
Golden State Warriors,Dallas Mavericks,0.8882632749979267
Indiana Pacers,Philadelphia 76ers,0.9380691719226665
Los Angeles Clippers,Portland Trail Blazers,0.6422385899161223
New York Knicks,Brooklyn Nets,0.7481064436912758
Oklahoma City Thunder,Toronto Raptors,0.6474264237530909
Orlando Magic,Minnesota Timberwolves,0.6585382281325258
Detroit Pistons,Phoenix Suns,0.7172818223229516
San Antonio Spurs,Houston Rockets,0.8635651239913501
Boston Celtics,Washington Wizards,0.5545069519085305
Golden State Warriors,Denver Nuggets,0.8944855920380073
Miami Heat,Chicago Bulls,0.6814591778299863
Milwaukee Bucks,New Orleans Pelicans,0.6145254039864011
Sacramento Kings,Los Angeles Lakers,0.7927138618173125
Boston Celtics,New York Knicks,0.807398815034273
Toronto Raptors,Charlotte Hornets,0.5391355859043441
Oklahoma City Thunder,Los Angeles Clippers,0.6856616555116316
Utah Jazz,Orlando Magic,0.5521940788129508
Indiana Pacers,Philadelphia 76ers,0.8767863948453686
Portland Trail Blazers,Sacramento Kings,0.8278400246426676
San Antonio Spurs,Detroit Pistons,0.8700695066441229
Cleveland Cavaliers,Washington Wizards,0.7521747354677252
Atlanta Hawks,Philadelphia 76ers,0.9477859612862931
Chicago Bulls,Washington Wizards,0.5301436202194565
Detroit Pistons,Denver Nuggets,0.5560928484131971
San Antonio Spurs,Houston Rockets,0.7847338986094223
Indiana Pacers,Boston Celtics,0.5290499292308217
Miami Heat,Utah Jazz,0.6541892274471562
Milwaukee Bucks,Memphis Grizzlies,0.5079462948856204
Los Angeles Clippers,Minnesota Timberwolves,0.7298967108198178
New Orleans Pelicans,Los Angeles Lakers,0.7512889362263603
Phoenix Suns,Brooklyn Nets,0.655403577119639
Toronto Raptors,New York Knicks,0.859539434722681
Cleveland Cavaliers,Charlotte Hornets,0.749181656170215
Golden State Warriors,Phoenix Suns,0.9661468315661788
Minnesota Timberwolves,Los Angeles Lakers,0.7913154112784915
Oklahoma City Thunder,Orlando Magic,0.8779669258905916
Portland Trail Blazers,Denver Nuggets,0.8492544415192202
Oklahoma City Thunder,Detroit Pistons,0.6745910505152763
Houston Rockets,Philadelphia 76ers,0.9189694641919025
Indiana Pacers,Orlando Magic,0.7405650813868621
Los Angeles Clippers,Brooklyn Nets,0.922264000624577
Boston Celtics,New Orleans Pelicans,0.7232513748597263
Dallas Mavericks,New York Knicks,0.6258914589758962
San Antonio Spurs,Miami Heat,0.8122206112181896
Utah Jazz,Memphis Grizzlies,0.6664745286561609
Cleveland Cavaliers,Toronto Raptors,0.6527556535026561
Los Angeles Lakers,Brooklyn Nets,0.5534294621679783
Miami Heat,Atlanta Hawks,0.5616520789705933
Charlotte Hornets,Minnesota Timberwolves,0.668894379829361
Portland Trail Blazers,Chicago Bulls,0.7400250410907409
Atlanta Hawks,Milwaukee Bucks,0.8320605133751415
Boston Celtics,Dallas Mavericks,0.6669967841453011
Denver Nuggets,Phoenix Suns,0.73566672247474
Cleveland Cavaliers,Indiana Pacers,0.6846050212843224
Los Angeles Clippers,Memphis Grizzlies,0.7880053210396546
Detroit Pistons,New York Knicks,0.6190120139505579
Oklahoma City Thunder,Houston Rockets,0.8096737045015483
Orlando Magic,New Orleans Pelicans,0.6677080804439038
Washington Wizards,Philadelphia 76ers,0.8448994611359493
San Antonio Spurs,Sacramento Kings,0.8635631580464225
Golden State Warriors,Toronto Raptors,0.6920882706936634
Portland Trail Blazers,Houston Rockets,0.5060169601775428
Miami Heat,Milwaukee Bucks,0.8229501857395456
Minnesota Timberwolves,Philadelphia 76ers,0.8662500767824005
Utah Jazz,Chicago Bulls,0.5847912961511699
Washington Wizards,New York Knicks,0.721897655712121
Golden State Warriors,Boston Celtics,0.7664143620031012
Charlotte Hornets,Atlanta Hawks,0.5721271066287245
Cleveland Cavaliers,Detroit Pistons,0.8216653386884487
Dallas Mavericks,Memphis Grizzlies,0.6430010353035044
Toronto Raptors,Denver Nuggets,0.7543255883661366
Indiana Pacers,Phoenix Suns,0.8616091821507943
San Antonio Spurs,Los Angeles Lakers,0.9499450762516822
Portland Trail Blazers,New Orleans Pelicans,0.6924648726027859
Oklahoma City Thunder,Brooklyn Nets,0.9559819159597917
Los Angeles Clippers,Sacramento Kings,0.7282197629587012
Boston Celtics,Detroit Pistons,0.5105822610853198
Houston Rockets,Utah Jazz,0.5574924326044034
Los Angeles Clippers,Chicago Bulls,0.7237489878076618
Memphis Grizzlies,Minnesota Timberwolves,0.669308399275424
Golden State Warriors,Milwaukee Bucks,0.9083472447888885
Charlotte Hornets,New Orleans Pelicans,0.7171894809969963
Dallas Mavericks,Orlando Magic,0.5447177426487348
Phoenix Suns,Philadelphia 76ers,0.6205212774498197
Miami Heat,Washington Wizards,0.5479680071274282
Portland Trail Blazers,Brooklyn Nets,0.802471440966948
Utah Jazz,Denver Nuggets,0.5707185638345237
Chicago Bulls,Los Angeles Lakers,0.7851342662711275
Atlanta Hawks,New York Knicks,0.7179783830212949
Oklahoma City Thunder,Indiana Pacers,0.7828829699803975
Toronto Raptors,Sacramento Kings,0.7609286614481325
Charlotte Hornets,Memphis Grizzlies,0.760051162620296
Detroit Pistons,Houston Rockets,0.5902057786470176
Golden State Warriors,Indiana Pacers,0.7912121824330192
Los Angeles Clippers,Toronto Raptors,0.5007801086465369
Milwaukee Bucks,Orlando Magic,0.5218699402474152
Boston Celtics,Minnesota Timberwolves,0.6755231088280134
Miami Heat,Philadelphia 76ers,0.8982305642601162
San Antonio Spurs,Dallas Mavericks,0.866724101932573
Washington Wizards,Phoenix Suns,0.8166017725894772
Atlanta Hawks,New Orleans Pelicans,0.8332334187536433
Chicago Bulls,Denver Nuggets,0.5403626511591091
Oklahoma City Thunder,Los Angeles Lakers,0.9248086183283662
Portland Trail Blazers,New York Knicks,0.6899489883196581
Boston Celtics,Brooklyn Nets,0.8250281114641628
San Antonio Spurs,Charlotte Hornets,0.6993681405867591
Cleveland Cavaliers,Portland Trail Blazers,0.7708553517502394
Los Angeles Clippers,Dallas Mavericks,0.6339595371934361
Miami Heat,Detroit Pistons,0.5039753188452383
Golden State Warriors,Los Angeles Lakers,0.9759913510438277
Toronto Raptors,Houston Rockets,0.6470374291886165
Indiana Pacers,Atlanta Hawks,0.5326372444262069
New Orleans Pelicans,Minnesota Timberwolves,0.5768165884041239
Orlando Magic,Phoenix Suns,0.7500371243483568
Memphis Grizzlies,Philadelphia 76ers,0.790397245653143
Oklahoma City Thunder,Sacramento Kings,0.803998033777457
Utah Jazz,Denver Nuggets,0.735972693314741
San Antonio Spurs,Boston Celtics,0.7026643074886754
Cleveland Cavaliers,Dallas Mavericks,0.8173352906398924
Oklahoma City Thunder,Denver Nuggets,0.7982691563809821
Los Angeles Clippers,Detroit Pistons,0.5752150458959286
Indiana Pacers,Brooklyn Nets,0.8960167494603205
Golden State Warriors,Los Angeles Lakers,0.9634359328060133
Miami Heat,Memphis Grizzlies,0.6315503098968676
Toronto Raptors,Milwaukee Bucks,0.7821151680781953
Charlotte Hornets,New York Knicks,0.714792555526741
Washington Wizards,Orlando Magic,0.5261193105667159
Chicago Bulls,Philadelphia 76ers,0.842524190977688
Minnesota Timberwolves,Phoenix Suns,0.5309990375774487
Portland Trail Blazers,New Orleans Pelicans,0.861820659286695
Houston Rockets,Sacramento Kings,0.5787470576722356
Atlanta Hawks,Utah Jazz,0.5424332685696696
Charlotte Hornets,New York Knicks,0.8098325904650551
Golden State Warriors,Minnesota Timberwolves,0.9483022868517722
Miami Heat,Memphis Grizzlies,0.7521840421768992
Oklahoma City Thunder,Detroit Pistons,0.8182064427560366
San Antonio Spurs,Washington Wizards,0.792377992643911
Sacramento Kings,Brooklyn Nets,0.6223359111470583
Dallas Mavericks,New Orleans Pelicans,0.7355566625994976
Los Angeles Clippers,Indiana Pacers,0.5360609836812389
Atlanta Hawks,Los Angeles Lakers,0.859175342191642
Orlando Magic,Milwaukee Bucks,0.6658378835929775
Cleveland Cavaliers,Philadelphia 76ers,0.9567066495917738
Denver Nuggets,Phoenix Suns,0.5460774772216503
Portland Trail Blazers,Houston Rockets,0.7163098075217049
Golden State Warriors,Atlanta Hawks,0.8393362870358424
Charlotte Hornets,Memphis Grizzlies,0.6307004421545939
Miami Heat,Boston Celtics,0.5581027042300853
Utah Jazz,Minnesota Timberwolves,0.5815728966490468
Oklahoma City Thunder,New York Knicks,0.8369283058985774
Toronto Raptors,Philadelphia 76ers,0.9623176549471941
Washington Wizards,Sacramento Kings,0.6968662949241994
Los Angeles Clippers,Brooklyn Nets,0.8595572722640077
Charlotte Hornets,Detroit Pistons,0.6769157963625687
Cleveland Cavaliers,Milwaukee Bucks,0.8502277357457729
New Orleans Pelicans,Los Angeles Lakers,0.7512889362263603
San Antonio Spurs,Orlando Magic,0.9145614564072395
Utah Jazz,Houston Rockets,0.5554225794111126
Boston Celtics,Detroit Pistons,0.6734668356823009
Chicago Bulls,Los Angeles Lakers,0.8426209475616008
San Antonio Spurs,Dallas Mavericks,0.8035825044320399
Miami Heat,Denver Nuggets,0.6597968688521718
Minnesota Timberwolves,New York Knicks,0.6081443744544504
Oklahoma City Thunder,Washington Wizards,0.8248771201786026
Atlanta Hawks,Phoenix Suns,0.7990098154177688
Portland Trail Blazers,Indiana Pacers,0.6815459132684467
Toronto Raptors,Memphis Grizzlies,0.8198759393418198
Milwaukee Bucks,Brooklyn Nets,0.5616332345092878
Charlotte Hornets,Dallas Mavericks,0.6704806463668886
Cleveland Cavaliers,Los Angeles Clippers,0.6906890617612307
Golden State Warriors,Houston Rockets,0.8855474133766902
Memphis Grizzlies,Orlando Magic,0.5907990837967358
Miami Heat,Utah Jazz,0.53944603502206
Atlanta Hawks,Detroit Pistons,0.6815285817992268
Boston Celtics,Sacramento Kings,0.7878010801993813
Cleveland Cavaliers,Chicago Bulls,0.7823872621691375
Houston Rockets,Denver Nuggets,0.5699559422149725
Los Angeles Clippers,New Orleans Pelicans,0.7723226289051196
New York Knicks,Minnesota Timberwolves,0.5796912394588075
Orlando Magic,Philadelphia 76ers,0.7810120393859928
San Antonio Spurs,Washington Wizards,0.875127574486673
Toronto Raptors,Los Angeles Lakers,0.9373106835731965
Charlotte Hornets,Minnesota Timberwolves,0.8244071813715265
Dallas Mavericks,Chicago Bulls,0.5593697213180572
Golden State Warriors,Phoenix Suns,0.9661468315661788
Memphis Grizzlies,Los Angeles Lakers,0.8176995070126241
Milwaukee Bucks,Brooklyn Nets,0.7671623902364922
Boston Celtics,Philadelphia 76ers,0.9006216284771821
Portland Trail Blazers,Miami Heat,0.6330937767872197
Toronto Raptors,Atlanta Hawks,0.6577046875848521
Utah Jazz,Denver Nuggets,0.735972693314741
Detroit Pistons,Orlando Magic,0.7089400166909606
Los Angeles Clippers,Indiana Pacers,0.6632745981788469
New York Knicks,Sacramento Kings,0.5255919694114813
Oklahoma City Thunder,New Orleans Pelicans,0.9131054596733257
Oklahoma City Thunder,Atlanta Hawks,0.5961349232002529
Washington Wizards,Brooklyn Nets,0.73919437401383
Portland Trail Blazers,Chicago Bulls,0.5595427903884069
Charlotte Hornets,Dallas Mavericks,0.5642260705670228
Golden State Warriors,Indiana Pacers,0.8676915860066844
Boston Celtics,Houston Rockets,0.5431543754507141
Utah Jazz,Los Angeles Lakers,0.8051537070747626
San Antonio Spurs,Milwaukee Bucks,0.8771229575570335
Memphis Grizzlies,New Orleans Pelicans,0.5209422621412368
Denver Nuggets,Philadelphia 76ers,0.7299686979744748
Cleveland Cavaliers,Toronto Raptors,0.5628333223623575
Detroit Pistons,Chicago Bulls,0.618853518422101
Memphis Grizzlies,Philadelphia 76ers,0.8845424615303276
Miami Heat,New York Knicks,0.8031749660999233
San Antonio Spurs,Minnesota Timberwolves,0.8645603235357202
Utah Jazz,Phoenix Suns,0.8216904833969165
Washington Wizards,Orlando Magic,0.6712136205523257
Atlanta Hawks,Miami Heat,0.5802345168925508
Denver Nuggets,Brooklyn Nets,0.5844589595284516
Charlotte Hornets,Detroit Pistons,0.6769157963625687
Dallas Mavericks,Sacramento Kings,0.6819833671508383
Houston Rockets,Los Angeles Lakers,0.869108321567674
Golden State Warriors,Los Angeles Clippers,0.7335020588114599
Portland Trail Blazers,Milwaukee Bucks,0.6673141455601732
Cleveland Cavaliers,New York Knicks,0.8629731764455464
Boston Celtics,Orlando Magic,0.6487568015459331
Indiana Pacers,Phoenix Suns,0.7600063805441912
San Antonio Spurs,Chicago Bulls,0.8188695698799193
Portland Trail Blazers,Memphis Grizzlies,0.6026042729312703
New Orleans Pelicans,Philadelphia 76ers,0.8376475221420795
Toronto Raptors,Minnesota Timberwolves,0.8709117019020138
Golden State Warriors,Utah Jazz,0.8365972650020357
Washington Wizards,Denver Nuggets,0.7292437865227122
Toronto Raptors,Boston Celtics,0.5430406830262862
Charlotte Hornets,Orlando Magic,0.7700702265347181
Cleveland Cavaliers,Miami Heat,0.7484950649407192
Indiana Pacers,Dallas Mavericks,0.5116501164918145
Phoenix Suns,Los Angeles Lakers,0.5275900085747088
Atlanta Hawks,Milwaukee Bucks,0.6964896378420878
Detroit Pistons,Minnesota Timberwolves,0.567036442595347
Oklahoma City Thunder,Houston Rockets,0.8096737045015483
Sacramento Kings,New York Knicks,0.6101655967641324
Miami Heat,Chicago Bulls,0.5894886756555933
Cleveland Cavaliers,Charlotte Hornets,0.749181656170215
Houston Rockets,Dallas Mavericks,0.5649265434489572
Indiana Pacers,Portland Trail Blazers,0.565941101476197
Los Angeles Clippers,New Orleans Pelicans,0.8516410914828916
Golden State Warriors,Memphis Grizzlies,0.8822472838276894
Orlando Magic,Denver Nuggets,0.6447653496594736
San Antonio Spurs,Brooklyn Nets,0.9699816696972694
Utah Jazz,Sacramento Kings,0.7040733277426814
Washington Wizards,Milwaukee Bucks,0.7472693368726189
Detroit Pistons,Philadelphia 76ers,0.9281851206155836
New York Knicks,Los Angeles Lakers,0.6570261730185482
Golden State Warriors,Minnesota Timberwolves,0.8986078850523397
Oklahoma City Thunder,Boston Celtics,0.7389927457193509
New Orleans Pelicans,Phoenix Suns,0.5207643047083756
Dallas Mavericks,Denver Nuggets,0.7153010614163064
Houston Rockets,Brooklyn Nets,0.8658032281574827
Indiana Pacers,Charlotte Hornets,0.5365385056008671
Los Angeles Clippers,Portland Trail Blazers,0.6422385899161223
Miami Heat,Washington Wizards,0.6775362083224032
Sacramento Kings,Los Angeles Lakers,0.7927138618173125
Toronto Raptors,Milwaukee Bucks,0.8745362717489711
Atlanta Hawks,Orlando Magic,0.7737974545636132
Chicago Bulls,Minnesota Timberwolves,0.7072530944740656
Cleveland Cavaliers,Memphis Grizzlies,0.8744616772015381
Golden State Warriors,New Orleans Pelicans,0.9175281047314201
New York Knicks,Phoenix Suns,0.5552063558179852
Oklahoma City Thunder,Portland Trail Blazers,0.5418046978663126
Brooklyn Nets,Los Angeles Lakers,0.6260606380310729
Dallas Mavericks,Detroit Pistons,0.543660353674987
Houston Rockets,Sacramento Kings,0.7064634361900188
Cleveland Cavaliers,Memphis Grizzlies,0.8110204133535844
Miami Heat,Indiana Pacers,0.6166308802242462
Los Angeles Clippers,Orlando Magic,0.7056613782070464
Toronto Raptors,Philadelphia 76ers,0.933214232729873
San Antonio Spurs,Boston Celtics,0.8081556680337756
Oklahoma City Thunder,Utah Jazz,0.7050026240430819
Charlotte Hornets,Washington Wizards,0.5470636144896388
Portland Trail Blazers,Denver Nuggets,0.6317760900272074
Golden State Warriors,New York Knicks,0.9433040434492893
Chicago Bulls,Milwaukee Bucks,0.5788419029694833
Indiana Pacers,New Orleans Pelicans,0.6723516230408353
San Antonio Spurs,Phoenix Suns,0.9251827614357768
Boston Celtics,Charlotte Hornets,0.5721157205459478
Chicago Bulls,Milwaukee Bucks,0.713963676693689
Houston Rockets,New Orleans Pelicans,0.7573799176765194
Memphis Grizzlies,Sacramento Kings,0.6191660645273249
Los Angeles Clippers,Miami Heat,0.5068395824179277
Orlando Magic,Brooklyn Nets,0.8059364922760783
Los Angeles Lakers,Philadelphia 76ers,0.5344465980255604
Toronto Raptors,Atlanta Hawks,0.6577046875848521
Utah Jazz,Dallas Mavericks,0.5620983286489314
Washington Wizards,Detroit Pistons,0.5608482469237133
Atlanta Hawks,Charlotte Hornets,0.5811233898324626
Cleveland Cavaliers,Los Angeles Lakers,0.9581259910436851
Denver Nuggets,New York Knicks,0.6186846581317698
Detroit Pistons,Indiana Pacers,0.5497031651372442
Golden State Warriors,Portland Trail Blazers,0.8566662915403662
Houston Rockets,Minnesota Timberwolves,0.5808153948897635
Oklahoma City Thunder,Phoenix Suns,0.9400898356017175
Dallas Mavericks,Sacramento Kings,0.6819833671508383
Utah Jazz,Memphis Grizzlies,0.5402297921062205
Miami Heat,Boston Celtics,0.5581027042300853
Toronto Raptors,Orlando Magic,0.7401163046389219
Brooklyn Nets,Philadelphia 76ers,0.5415917139113532
